max_depth,n_trees,early_stopping,col_sample,l,a,p,r,f
5,3000,5,0.5,0.139702436152,0.966652536385,0.985513670473,0.953932298295,0.969371998968
5,3000,5,0.75,0.327446099693,0.840539776742,0.924170131811,0.733710867905,0.767687563763
5,3000,10,0.5,0.0698409809511,0.973823654091,0.985789935914,0.966785441588,0.976193529868
5,3000,10,0.75,0.254698690557,0.954889077293,0.981757845957,0.936052430644,0.958222926578
5,3000,20,0.5,0.069236534962,0.974070934012,0.985106691033,0.967930771189,0.976440317725
5,3000,20,0.75,0.0761420738698,0.970891620743,0.983387640003,0.963858488165,0.973522701255
6,3000,5,0.5,0.113391416241,0.966369930762,0.985570029895,0.953359633495,0.969169719351
6,3000,5,0.75,0.120167006412,0.964956902642,0.980762448301,0.955586663273,0.967966497502
6,3000,10,0.5,0.0676069507222,0.974459516744,0.987079523595,0.966658182744,0.976759209083
6,3000,10,0.75,0.22366784071,0.853751589657,0.947987299144,0.752799694579,0.783834850204
6,3000,20,0.5,0.0715338759963,0.973753002685,0.985983559471,0.966467294477,0.976124840845
6,3000,20,0.75,0.0736773170966,0.970149780981,0.98329535783,0.96258589972,0.972829847624
7,3000,5,0.5,0.109560871938,0.966723187791,0.986993923023,0.952596080428,0.969457950682
7,3000,5,0.75,0.127685055937,0.966864490603,0.984189697354,0.955650292695,0.969688719709
7,3000,10,0.5,0.198624560886,0.96481559983,0.985908927324,0.950178162382,0.96765033125
7,3000,10,0.75,0.0725907122948,0.972728557298,0.986714982512,0.963858488165,0.975150212069
7,3000,20,0.5,0.0735385206839,0.971174226367,0.985975765793,0.961758717231,0.973712345602
7,3000,20,0.75,0.0709426861605,0.972975837219,0.985707242454,0.965321964877,0.975405104754

